early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win,tier
5.9332,0.3004,0.3755,0.0833,0.1127,0,0.0,6.2232,0.254,0.254,0.2667,0.0708,0.0,0.0,0.722,0.0,0.722,0.2,0.0153,0.0,0.25,0,t47qTm12YHD8v-pgGtQSzNr6pWd-v1rBxFiPxLHClz60ts_en2SjfphDJKD-FRd19eiStKx5-SzAOA,BR1_3278539063,16.17,13.315,7.874,1.385,1,DIAMOND
6.8685,0.7045,0.1761,0.5625,0.2776,0,0.0,6.4437,0.8055,0.4027,0.3913,0.1783,1.0,0.1111,4.7608,0.4761,0.6348,0.2143,0.1548,0.0,0.0,0,FzGZtGtuxiZEONC-dqWGAd0BUl9WHDxDgURL0Ng3pBR5eTayzHeWXutcywoY3DakJpGCncMvnGT5QA,BR1_3277863803,16.17,11.356,12.415,6.301,1,DIAMOND
8.0714,0.2857,0.0714,0.4118,0.2521,2,0.0,8.9091,0.1818,0.2727,0.6667,0.3283,1.0,0.0,4.9362,0.3526,0.3526,0.0,0.1991,0.0,0.0,0,nTPEdTVHk-R7yPPgbcq_HS7tKHdFrBB_FWtKFGNoJ2M29wMeH5psUN5VU8LiCQxNUnIVsNR_jZT42A,BR1_3273841974,16.16,14.0,11.0,2.836,0,DIAMOND
6.6648,0.293,0.2197,0.375,0.2363,1,0.0,8.7883,0.3612,0.0,0.2143,0.24,1.0,0.0,6.3298,0.1711,0.4277,0.2857,0.2006,1.0,0.0769,0,nTPEdTVHk-R7yPPgbcq_HS7tKHdFrBB_FWtKFGNoJ2M29wMeH5psUN5VU8LiCQxNUnIVsNR_jZT42A,BR1_3273822564,16.16,13.654,8.307,11.691,0,DIAMOND
0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,0,jlDI28u1EUxoN7FRA-8j2oC2RKjjgBv9x55L-VYe5bKj03xtpV2MXN8c-id5AcnkuOKL_6QPKyCTDw,BR1_3266992983,16.15,1.099,0.0,0.0,1,DIAMOND
6.5623,0.3125,0.1562,0.3636,0.2143,0,0.25,9.916,0.1167,0.0,0.125,0.1816,0.0,0.0833,9.1105,0.5359,0.0,1.0,0.2552,0.0,0.1429,0,VcS4nr9j6ecuDVTs70K6bGa2-3JimkTNnl1tewPHK9TdVv5FD8twHYRn4OhhoE6pTJf_wa8qrxL3vg,BR1_3278966985,16.17,12.8,8.572,1.866,1,DIAMOND
9.6413,0.1662,0.0,0.25,0.2202,1,,,,,,,,,,,,,,,,1,8Ww2wyqNSVAyBgsmu_tT0EOWia2ykZR1hRfBgfr-k7iEUpc_iHIrkHT60onh3j858Lm_KW6C7zcfug,BR1_3268852600,16.15,6.016,0.0,0.0,0,DIAMOND
6.9857,0.2329,0.0,0.0,0.1833,0,0.0,,,,,,,,,,,,,,,0,YvW_ofEmrW3wxoGGQvR-TWEZCSSf7o9_1_6v1Uo3k_G-1ICumgnRpAuchlfhFLgcLfWmIT1kymGwSg,BR1_3273465465,16.16,8.589,0.0,0.0,0,DIAMOND
6.7143,0.2857,0.2857,0.125,0.282,1,0.2,10.9147,0.0,0.4746,0.0,0.095,0.0,0.0,,,,,,,,0,j4Cl8eNqbzFwP1h-jRI6MrUVT8_fCpyQRaJwuoTh1rZV12GMSuO3o4fz97mQueF9kjYufcKpWmJ_dg,BR1_3277648693,16.17,14.0,2.107,0.0,0,DIAMOND
5.8988,0.2328,0.0776,0.4444,0.1789,1,0.0,8.4446,0.1069,0.3207,0.8333,0.2151,0.0,0.0,0.0,0.0,2.1364,0.0,0.5364,0.0,0.0,0,ylqvJu1Jr4uHST05K2ExkhbLNHbfbiUuAGapyIlbs6Klcr8npDE9a1j3iQSxPYzqCYAM2nx_MrXIZw,BR1_3272982607,16.16,12.884,9.355,0.468,0,DIAMOND
