early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win
4.7143,0.4286,0.2857,0.375,0.3089,2,0.0,5.9091,0.4545,0.1818,0.3077,0.1463,0,0.0,4.213,0.7022,0.4681,0.4444,0.1732,0.0,0.1111,1,mddREOuXPBvaOKX5sK1UL256rkDZUPP_3R1vyGt_GrVqCVPMzSQMjzNyP-6GWLad4KkTDC3ynyfSOg,BR1_3252552477,16.12,14.0,11.0,8.545,1
7.5286,0.3543,0.1771,0.3077,0.1515,1,0.0,3.6471,0.2918,0.0729,0.5,0.1747,1,0.3846,,,,,,,,1,LjZNaS1Qei43IpmGzeYhVEg1YyNaRT7iiwMPT7Dk5bVW6waXALwZZ9o5Ward5nhQC8vg0WDn4Kq76A,BR1_3252751041,16.12,11.29,13.71,-5.554,1
5.0093,0.2947,0.4911,0.0909,0.0866,0,0.0,8.7761,0.3687,0.295,0.375,0.2253,0,0.0769,9.9162,0.3541,0.118,0.7143,0.4372,2.0,0.25,0,jcpJlZoHj7Pe3a1IVbRjfqnlIk3xGmMB_88LBQQQjG7r5ML0jQuRYuQ5aCGw4W4CLMSqM5riBeTrlQ,BR1_3252730356,16.12,10.181,13.56,8.471,0
6.7603,0.4448,0.1779,0.4545,0.2681,2,0.0,7.1958,0.2907,0.2181,0.4,0.2227,1,0.1,9.036,0.2347,0.1174,0.6923,0.1981,0.0,0.1,1,Qr-OWwA5xByikrXhi90VZOTXf8Q6M3OSU1uQPbIFz8DaVmpsC-wgouOB6VqPicqHFuFmEnL98wMYDg,BR1_3252572452,16.12,11.242,13.758,8.521,1
7.4957,0.2998,0.0999,0.2353,0.2834,4,0.0,2.4676,0.1334,0.0,0.4286,0.4745,1,0.25,,,,,,,,0,0yrCk5Y8Cll5KCtjG9u8fwTfsY3iZbEDTAKtmqCEZsybFQcBLcq8LSZrkCUiVZUJYkwFngkALRpzbw,BR1_3252667503,16.12,10.006,14.994,-9.763,1
7.8408,0.3105,0.1553,0.2308,0.0784,1,0.0,9.5924,0.6123,0.102,0.4375,0.1976,1,0.3,7.6804,0.7896,0.3589,0.1905,0.1924,2.0,0.0,0,2ApDGMHfIkhn_kS37HwsX4XUN6K_OWEaWrZi-nDnmGyiVhP6_MqXe1tsNqyHxEy0Az6wE5d1H8XCSA,BR1_3252750100,16.12,12.881,9.799,13.931,1
0.2857,0.0,0.0,0.0,0.6126,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,YV-n2n8naJcABbIucWwOpdQiIib4oW4Fk3_IonVEOVMqPkqN5onbl_ktdrApLQqpFver7FXgD9N8pg,BR1_3252816436,16.12,14.0,11.0,-23.478,0
5.755,0.2019,0.2019,0.2857,0.297,1,0.25,6.3594,0.3312,0.265,0.5238,0.231,3,0.2308,4.3868,0.1994,0.3988,0.5,0.2549,0.0,0.4444,0,QRv2xF9FO4Psf_TTWd7zgfx7Moke5nzYxQTv8ONMRa6UI36k3sWJUP3tirG0f32853Q4N79sVrGwvA,BR1_3252757434,16.12,9.904,15.096,5.015,0
4.2289,0.3076,0.1538,0.25,0.1957,1,0.0,5.1456,0.4116,0.4116,0.5,0.23,2,0.2222,5.4459,0.4951,0.4951,0.0,0.3695,0.0,0.375,0,tFV2zefyV6I4swj3xOGpI-UTTabkIcyZyjWttoRUTO8dw8qtmvGtFMw26NOuQ9TAVbr-uBoI-624Sw,BR1_3252853488,16.12,13.006,9.717,2.02,0
3.8628,0.2272,0.303,0.3636,0.1535,0,0.0,5.2555,0.5934,0.5086,0.4,0.1769,1,0.4,9.2365,0.0,0.0,0.0,0.2536,0.0,0.0,0,mddREOuXPBvaOKX5sK1UL256rkDZUPP_3R1vyGt_GrVqCVPMzSQMjzNyP-6GWLad4KkTDC3ynyfSOg,BR1_3252853553,16.12,13.203,11.797,0.65,0
