early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,early_duration_min,mid_duration_min,late_duration_min,win
7.9286,0.0,0.1429,0.4167,0.154,1,0.0,5.3636,0.0,0.0909,0.6111,0.3757,2,0.0,4.8612,0.0,0.4191,0.5,0.2629,0.0,0.0769,0,0DDlx4jWKb2TwTD_n9096jPYvQithEzVzfBPTZ_9JF4AlgLp-MF41GqNbw1prpzvWrZGiuDhxJ5QGQ,BR1_3252264546,14.0,11.0,11.931,1
6.0905,0.0,0.0801,0.125,0.162,0,0.5,3.2744,0.0,0.0799,0.0,0.0767,0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,,0,0DDlx4jWKb2TwTD_n9096jPYvQithEzVzfBPTZ_9JF4AlgLp-MF41GqNbw1prpzvWrZGiuDhxJ5QGQ,BR1_3252212488,12.478,12.522,1.643,0
7.8287,0.0,0.076,0.2,0.2465,1,0.0,5.4884,0.0,0.2533,0.4375,0.1662,0,0.0909,7.4261,0.0,0.2912,0.25,0.1053,0.0,0.1111,0,0DDlx4jWKb2TwTD_n9096jPYvQithEzVzfBPTZ_9JF4AlgLp-MF41GqNbw1prpzvWrZGiuDhxJ5QGQ,BR1_3252194473,13.157,11.843,6.868,0
6.7733,0.0,0.2117,0.3333,0.2933,2,0.0,5.0157,0.0,0.3215,0.3333,0.2589,0,0.2727,6.2693,0.0,0.2322,0.6154,0.2884,0.0,0.1429,0,CvoDTkDtoDPnxXgugaPQJT76ue7-tBrE2GbFT0D85V8fdAoR3M5rsP50quSwZVXPLECI26bZmvdF2A,BR1_3252703784,9.449,15.551,12.92,0
5.4286,0.0,0.1429,0.7273,0.4297,4,0.0,6.0,0.0,0.2727,0.3889,0.358,0,0.25,6.8781,0.0,0.3275,0.4667,0.2321,0.0,0.125,0,CvoDTkDtoDPnxXgugaPQJT76ue7-tBrE2GbFT0D85V8fdAoR3M5rsP50quSwZVXPLECI26bZmvdF2A,BR1_3252130450,14.0,11.0,12.213,0
5.6429,0.0,0.3571,0.3571,0.2936,3,0.2,5.0,0.0,0.3636,0.4667,0.2849,2,0.1,3.1968,0.0,0.5441,0.4211,0.2352,0.0,0.1333,1,CvoDTkDtoDPnxXgugaPQJT76ue7-tBrE2GbFT0D85V8fdAoR3M5rsP50quSwZVXPLECI26bZmvdF2A,BR1_3251927010,14.0,11.0,14.702,0
6.2143,0.0,0.2143,0.7143,0.3317,1,0.0,11.2827,0.0,0.2752,0.3571,0.232,2,0.1429,5.7577,0.0,0.3084,0.2667,0.1688,0.0,0.1,0,UvY7nGhotqjQO75nUYe14s-VifswQcL_q0_hm2WjJHvC50pm590fJuccdk9YEH9nLNpasmoOSeJffA,BR1_3247622206,14.0,7.268,9.726,1
5.755,0.0,0.2019,0.2857,0.297,1,0.25,6.3594,0.0,0.265,0.5238,0.231,3,0.2308,4.3868,0.0,0.3988,0.5,0.2549,0.0,0.4444,0,QRv2xF9FO4Psf_TTWd7zgfx7Moke5nzYxQTv8ONMRa6UI36k3sWJUP3tirG0f32853Q4N79sVrGwvA,BR1_3252757434,9.904,15.096,5.015,0
5.8571,0.0,0.0,0.4375,0.1799,2,0.25,5.0,0.0,0.0,0.52,0.2243,1,0.0,6.2507,0.0,0.0,0.5714,0.3058,0.0,0.2,1,QRv2xF9FO4Psf_TTWd7zgfx7Moke5nzYxQTv8ONMRa6UI36k3sWJUP3tirG0f32853Q4N79sVrGwvA,BR1_3252751155,14.0,11.0,1.6,1
6.0384,0.0,0.1858,0.5455,0.2768,1,0.0,4.5539,0.0,0.594,0.625,0.1709,0,0.2667,8.7478,0.0,0.0,0.0,0.2725,0.0,0.0,0,QRv2xF9FO4Psf_TTWd7zgfx7Moke5nzYxQTv8ONMRa6UI36k3sWJUP3tirG0f32853Q4N79sVrGwvA,BR1_3252720612,10.764,10.101,0.8,0
